type,numC,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot [kJ/mol],diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW
ACE,20,735.8,1.27,1.76,-9808.85,2.5474,0.036,2.55E-05,3.60E-07,6.74E-07,3.78E+01,4.37E+01,6.90E-02,200,5.33E+00,5.33E-09,1.52E-25,2.03E+05,2.03E+02,202.9601265,1.00E+00,9.67E+01,8.77E+01,1.10E+00,328
ACE,40,749.5,0.42,2.71,-5807.34,0.9425,0.0165,9.43E-06,1.65E-07,1.06E-07,8.89E+01,1.02E+02,1.20E-01,100,5.14E+00,5.14E-09,1.36E-25,1.95E+05,1.95E+02,197.5985025,9.87E-01,1.64E+02,1.58E+02,1.04E+00,608
ACE,60,755.29,0.34,3.45,-8835.93,0.4619,0.0419,4.62E-06,4.19E-07,4.20E-07,1.10E+01,1.33E+02,9.80E-02,100,5.77E+00,5.77E-09,1.92E-25,1.91E+05,1.91E+02,180.9880715,1.06E+00,2.25E+02,2.12E+02,1.06E+00,888
ACE,80,757,0.18,4.02,-9503.89,0.2451,0.0329,2.45E-06,3.29E-07,2.55E-07,9.61E+00,1.66E+02,3.20E-01,100,6.36E+00,6.36E-09,2.57E-25,1.68E+05,1.68E+02,174.126602,9.67E-01,2.65E+02,2.65E+02,1.00E+00,1168
AMI,20,771.97,0.61,1.94,-33268.42,1.0198,0.0167,1.02E-05,1.67E-07,6.74E-07,1.51E+01,-4.27E+01,3.50E-01,200,5.79E+00,5.79E-09,1.94E-25,2.12E+05,2.12E+02,202.9601265,1.04E+00,1.28E+02,8.77E+01,1.46E+00,452
AMI,40,769.37,0.28,2.78,-14365.23,0.4005,0.0183,4.01E-06,1.83E-07,1.06E-07,3.78E+01,3.82E+01,3.70E-01,100,5.43E+00,5.43E-09,1.60E-25,1.89E+05,1.89E+02,197.5985025,9.56E-01,1.86E+02,1.58E+02,1.18E+00,732
AMI,60,765.83,0.2,3.5,-16344.52,0.2809,0.0054,2.81E-06,5.40E-08,4.20E-07,6.69E+00,7.15E+01,1.90E-01,100,6.03E+00,6.03E-09,2.19E-25,1.78E+05,1.78E+02,180.9880715,9.83E-01,2.39E+02,2.12E+02,1.13E+00,1012
AMI,80,767.71,0.1,4.09,-18939.53,0.1923,0.011,1.92E-06,1.10E-07,2.55E-07,7.54E+00,9.23E+01,4.20E-01,100,6.53E+00,6.53E-09,2.78E-25,1.68E+05,1.68E+02,174.126602,9.66E-01,2.86E+02,2.65E+02,1.08E+00,1292
ANH,20,761.63,1.06,1.58,-10329.28,1.848,0.0128,1.85E-05,1.28E-07,6.74E-07,2.74E+01,4.45E+01,3.70E-02,200,5.37E+00,5.37E-09,1.55E-25,2.07E+05,2.07E+02,202.9601265,1.02E+00,1.00E+02,8.77E+01,1.14E+00,354
ANH,40,763.03,0.47,2.53,-6133.83,0.8197,0.0177,8.20E-06,1.77E-07,1.06E-07,7.73E+01,9.71E+01,5.50E-02,100,5.19E+00,5.19E-09,1.40E-25,1.88E+05,1.88E+02,197.5985025,9.52E-01,1.62E+02,1.58E+02,1.03E+00,634
